signal_date,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason,vix_at_signal
2011-10-04,2011-10-05,2011-10-10,10.8825,11.9707,10.0,3,take_profit,40.82
2011-10-12,2011-10-13,2011-10-27,13.0,14.3,10.0,10,take_profit,31.26
2011-10-31,2011-11-01,2011-11-08,11.1,12.21,10.0,5,take_profit,29.96
2011-11-10,2011-11-11,2011-12-12,11.15,11.53,3.408,20,max_hold,32.81
2011-12-14,2011-12-15,2011-12-21,12.015,13.2165,10.0,4,take_profit,26.04
2012-05-18,2012-05-21,2012-05-21,17.18,18.898,10.0,0,take_profit,25.1
2012-06-01,2012-06-04,2012-06-06,16.6825,18.3508,10.0,2,take_profit,26.66
2014-10-15,2014-10-16,2014-10-16,48.72,53.592,10.0,0,take_profit,25.27
2015-08-21,2015-08-24,2015-08-24,48.42,53.262,10.0,0,take_profit,28.03
2015-08-26,2015-08-27,2015-09-01,58.24,46.592,-20.0,3,stop_loss,30.32
2015-09-03,2015-09-04,2015-09-09,45.68,50.248,10.0,2,take_profit,25.61
2015-09-28,2015-09-29,2015-10-02,46.1,50.71,10.0,3,take_profit,27.63
2016-01-08,2016-01-11,2016-01-20,40.22,32.176,-20.0,6,stop_loss,27.01
2016-02-08,2016-02-09,2016-02-18,32.4,35.64,10.0,6,take_profit,26.0
2016-06-24,2016-06-27,2016-06-29,41.69,45.859,10.0,2,take_profit,25.76
2018-02-05,2018-02-06,2018-02-07,23.4,25.74,10.0,1,take_profit,37.32
2018-02-09,2018-02-12,2018-02-14,22.48,24.728,10.0,2,take_profit,29.06
2018-10-24,2018-10-25,2018-11-23,24.085,23.72,-1.515,20,max_hold,25.23
2018-12-18,2018-12-19,2019-01-18,22.285,23.785,6.731,20,max_hold,25.58
2020-02-24,2020-02-25,2020-03-05,29.79,23.832,-20.0,7,stop_loss,25.03
2020-03-09,2020-03-10,2020-03-12,20.435,16.348,-20.0,2,stop_loss,54.46
2020-03-16,2020-03-17,2020-03-24,14.6,16.06,10.0,5,take_profit,82.69
2020-03-26,2020-03-27,2020-04-07,14.86,16.346,10.0,7,take_profit,61.0
2020-04-09,2020-04-13,2020-05-11,16.21,17.675,9.038,20,max_hold,41.67
2020-05-13,2020-05-14,2020-05-18,15.485,17.0335,10.0,2,take_profit,35.28
2020-05-20,2020-05-21,2020-06-19,17.075,15.255,-10.659,20,max_hold,27.99
2020-06-23,2020-06-24,2020-07-21,15.425,16.9675,10.0,18,take_profit,31.37
2020-07-23,2020-07-24,2020-08-11,16.265,17.8915,10.0,12,take_profit,26.08
2020-08-31,2020-09-01,2020-09-30,17.35,17.75,2.305,20,max_hold,26.41
2020-10-02,2020-10-05,2020-11-02,17.49,17.065,-2.43,20,max_hold,27.63
2020-11-04,2020-11-05,2020-11-25,18.575,20.4325,10.0,14,take_profit,29.57
2020-12-21,2020-12-22,2021-01-22,19.935,20.795,4.314,20,max_hold,25.16
2021-01-27,2021-01-28,2021-02-12,18.785,20.6635,10.0,11,take_profit,37.21
2021-02-25,2021-02-26,2021-03-16,20.155,22.1705,10.0,12,take_profit,28.89
2021-05-12,2021-05-13,2021-05-26,22.935,25.2285,10.0,9,take_profit,27.59
2021-09-20,2021-09-21,2021-10-14,26.88,29.568,10.0,17,take_profit,25.71
2021-11-26,2021-11-29,2021-12-28,28.6,30.26,5.804,20,max_hold,28.62
2022-01-20,2022-01-21,2022-02-18,28.205,26.06,-7.605,20,max_hold,25.59
2022-02-23,2022-02-24,2022-02-25,23.98,26.378,10.0,1,take_profit,31.02
2022-03-01,2022-03-02,2022-03-25,24.615,27.0765,10.0,17,take_profit,33.32
2022-04-22,2022-04-25,2022-05-23,25.34,24.01,-5.249,20,max_hold,28.21
2022-05-25,2022-05-26,2022-06-27,24.325,24.58,1.048,20,max_hold,28.37
2022-06-29,2022-06-30,2022-07-28,23.945,26.3395,10.0,19,take_profit,28.16
2022-08-26,2022-08-29,2022-09-27,26.2,24.405,-6.851,20,max_hold,25.56
2022-09-29,2022-09-30,2022-10-28,24.465,26.23,7.214,20,max_hold,31.84
2022-11-01,2022-11-02,2022-12-01,26.455,28.93,9.356,20,max_hold,25.81
2023-03-13,2023-03-14,2023-04-12,30.42,32.625,7.249,20,max_hold,26.52
2024-08-05,2024-08-06,2024-08-07,41.86,46.046,10.0,1,take_profit,38.57
2024-12-18,2024-12-19,2025-01-22,48.99,51.57,5.266,20,max_hold,27.62
2025-03-10,2025-03-11,2025-03-24,43.82,48.202,10.0,9,take_profit,27.86
2025-04-03,2025-04-04,2025-05-05,38.3,38.17,-0.339,20,max_hold,30.02
2025-10-16,2025-10-17,2025-10-27,46.25,50.875,10.0,6,take_profit,25.31
2025-11-20,2025-11-21,2025-12-03,46.38,51.018,10.0,7,take_profit,26.42
2026-03-06,2026-03-09,2026-04-07,46.37,45.99,-0.819,20,max_hold,29.49
